video,label,n_frames,elbow_angle_mean,elbow_angle_std,body_alignment_angle_mean,hip_angle_mean
Copy of push up 188,correct,69,0.6021181143652128,0.41013025584699886,0.469044805144327,0.6069352403975768
Copy of push up 197,correct,156,0.5116565047272561,0.36349322975775283,0.5104148012109521,0.44462155089468053
Copy of push up 198,incorrect,211,0.5462408108613038,0.28253934362260863,0.5018144587788951,0.6649969771008659
Copy of push up 2,correct,54,0.576421904837952,0.3669336281612618,0.47149059314093483,0.46713959136305155
Copy of push up 3,correct,52,0.6010841612877443,0.33965464407563023,0.4856987716601377,0.4841929570682836
Copy of push up 36,incorrect,83,0.5107964661420613,0.4143492010817296,0.5189883703960889,0.5015376042259804
Copy of push up 37,incorrect,66,0.4489003385904028,0.371750822507119,0.6600941486359713,0.6322385914619438
Copy of push up 4,correct,57,0.5851751779557016,0.36454049975215663,0.5455204070186271,0.5903362667283867
Copy of push up 42,incorrect,116,0.5777616191433941,0.4010368502552656,0.4559580126572778,0.4487554196721498
Copy of push up 44,incorrect,99,0.6608637202649659,0.38815094465889033,0.6700249206946963,0.6733574149243318
Copy of push up 46,incorrect,100,0.6760511517442511,0.387398837726352,0.3922266812555455,0.7081091173760247
Copy of push up 47,correct,95,0.6489217849190678,0.3975476761067785,0.5924273175978613,0.5821660448088378
Copy of push up 5,correct,53,0.5730170759779736,0.36851727000462414,0.3836431277673178,0.4752219216636074
Copy of push up 55,incorrect,113,0.5806798787820707,0.39862862876280303,0.5300101676480345,0.5592565411087145
Copy of push up 56,incorrect,107,0.5556766736049177,0.3933000467067403,0.37029147542145013,0.37888803587794273
Copy of push up 57,incorrect,75,0.661577479143743,0.38571282524018086,0.3862237178172973,0.45392928344882666
Copy of push up 58,incorrect,84,0.6710658162036962,0.36021236012485175,0.41744809774276975,0.49623253523098465
Copy of push up 6,correct,60,0.6102720841621853,0.3449165280613462,0.4782789694390079,0.5335332884662175
Copy of push up 7,correct,58,0.6060569993683989,0.3458668114680397,0.4045525479979545,0.5097671967085173
Copy of push up 78,correct,58,0.8102500590017592,0.2287505871150196,0.6299161790937586,0.44187063254905456
Copy of push up 79,correct,45,0.7518897766687821,0.27221808278396165,0.4856977610394696,0.48835969481459396
Copy of push up 80,correct,157,0.5901234119453497,0.4181091837203439,0.643812337340417,0.5720767232671159
Copy of push up 81,incorrect,93,0.6570107705198959,0.38410381930521653,0.38425793482827986,0.41450596317244154
Copy of push up 83,correct,63,0.6074798711207517,0.36469379776670063,0.4922559635631525,0.4837753785142077
Copy of push up 85,correct,61,0.6584718829210223,0.3501039850031375,0.5306234030273143,0.5083922092449836
